; "ClFFT Informations","Device","Tesla M2090","Hardware","OpenCL 1.1 CUDA","Software","352.79","OpenCL","OpenCL C 1.1 ","ComputeUnits","16"
; "Time_ContextCreate [ms]", 259.591
; "Time_ContextDestroy [ms]", 3.37518
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]"
ClFFT,Inplace,Complex,float,1,1,1024,0,0,0,0.147396,0.001705,4.6384,0.02609,0.050715,0.044438,0.025535,0.023898,4.81208,8192,0
ClFFT,Inplace,Complex,float,1,1,1024,0,0,1,0.14556,0.001752,4.62876,0.025455,0.050823,0.043803,0.024834,0.023806,4.80053,8192,0
ClFFT,Inplace,Complex,float,1,1,1024,0,0,2,0.146369,0.00184,4.66938,0.026068,0.050567,0.044214,0.024916,0.02362,4.84183,8192,0
ClFFT,Inplace,Complex,float,1,1,1024,0,0,3,0.147285,0.00174,4.6521,0.026821,0.050688,0.043892,0.025245,0.023886,4.82566,8192,0
ClFFT,Inplace,Complex,float,1,1,1024,0,0,4,0.146021,0.001729,4.6089,0.026701,0.05039,0.043758,0.024573,0.023641,4.78092,8192,0
ClFFT,Inplace,Complex,float,3,2,32,32,32,0,0.593725,0.00165,2.58344,0.333365,0.080091,0.047588,0.13201,0.192106,3.37159,262144,8192
ClFFT,Inplace,Complex,float,3,2,32,32,32,1,0.586143,0.001653,2.57095,0.331052,0.074199,0.04772,0.132476,0.192693,3.35211,262144,8192
ClFFT,Inplace,Complex,float,3,2,32,32,32,2,0.588422,0.001646,2.5685,0.332694,0.074439,0.04769,0.132823,0.191561,3.35076,262144,8192
ClFFT,Inplace,Complex,float,3,2,32,32,32,3,0.591933,0.001613,2.58112,0.337504,0.074496,0.04779,0.131418,0.192786,3.36811,262144,8192
ClFFT,Inplace,Complex,float,3,2,32,32,32,4,0.58975,0.001733,2.58842,0.334693,0.074672,0.04742,0.132287,0.191559,3.37213,262144,8192
ClFFT,Inplace,Complex,float,2,3,16,25,0,0,0.356315,0.001614,1.70398,0.21445,0.071081,0.046382,0.023708,0.188464,2.25112,3200,3200
ClFFT,Inplace,Complex,float,2,3,16,25,0,1,0.353647,0.001551,1.70413,0.213777,0.07066,0.046209,0.02232,0.18852,2.24856,3200,3200
ClFFT,Inplace,Complex,float,2,3,16,25,0,2,0.355605,0.001641,1.70994,0.214777,0.070365,0.04621,0.023562,0.188085,2.25601,3200,3200
ClFFT,Inplace,Complex,float,2,3,16,25,0,3,0.35416,0.0016,1.70884,0.213416,0.070069,0.046434,0.023561,0.188032,2.25333,3200,3200
ClFFT,Inplace,Complex,float,2,3,16,25,0,4,0.352453,0.001587,1.70534,0.212526,0.070123,0.045467,0.023694,0.188026,2.24805,3200,3200
ClFFT,Inplace,Complex,float,3,3,27,25,49,0,0.585435,0.00178,2.21968,0.333028,0.077317,0.048964,0.125428,0.193066,3.00068,264600,10584
ClFFT,Inplace,Complex,float,3,3,27,25,49,1,0.586538,0.001877,2.20567,0.33384,0.076635,0.048676,0.126691,0.199349,2.99424,264600,10584
ClFFT,Inplace,Complex,float,3,3,27,25,49,2,0.590027,0.001989,2.2072,0.331937,0.075568,0.056504,0.125312,0.193367,2.99328,264600,10584
ClFFT,Inplace,Complex,float,3,3,27,25,49,3,0.592397,0.002054,2.20843,0.340176,0.076271,0.04939,0.125856,0.191629,2.99523,264600,10584
ClFFT,Inplace,Complex,float,3,3,27,25,49,4,0.584363,0.001698,2.21134,0.331352,0.076504,0.049668,0.126143,0.193412,2.9916,264600,10584
ClFFT,Inplace,Real,float,1,1,1024,0,0,0,4.05581,0.001588,3.7246,0.023644,0.052985,0.052272,0.02354,0.023165,7.80583,4104,0
ClFFT,Inplace,Real,float,1,1,1024,0,0,1,4.03737,0.001506,3.73374,0.024111,0.052809,0.052296,0.02334,0.027651,7.80095,4104,0
ClFFT,Inplace,Real,float,1,1,1024,0,0,2,4.04636,0.001474,3.73545,0.023959,0.052992,0.051955,0.023047,0.023253,7.80725,4104,0
ClFFT,Inplace,Real,float,1,1,1024,0,0,3,4.04862,0.001599,3.73257,0.023783,0.052515,0.052321,0.023209,0.023087,7.80656,4104,0
ClFFT,Inplace,Real,float,1,1,1024,0,0,4,4.05015,0.001499,3.72613,0.02365,0.052344,0.05235,0.023133,0.022952,7.80146,4104,0
ClFFT,Inplace,Real,float,3,2,32,32,32,0,3.3065,0.001664,2.69021,0.282133,0.133361,0.085743,0.083792,0.199494,6.19862,139264,4352
ClFFT,Inplace,Real,float,3,2,32,32,32,1,3.30803,0.002009,2.70232,0.275898,0.141397,0.085677,0.083674,0.204429,6.21753,139264,4352
ClFFT,Inplace,Real,float,3,2,32,32,32,2,3.30498,0.001941,2.69627,0.275229,0.132176,0.086165,0.083289,0.198306,6.20224,139264,4352
ClFFT,Inplace,Real,float,3,2,32,32,32,3,3.32256,0.001729,2.68552,0.27475,0.133407,0.086204,0.083052,0.198654,6.20922,139264,4352
ClFFT,Inplace,Real,float,3,2,32,32,32,4,3.31261,0.001723,2.68914,0.282466,0.134347,0.085971,0.083315,0.198045,6.20231,139264,4352
ClFFT,Inplace,Real,float,2,3,16,25,0,0,2.22507,0.001926,1.6814,0.226941,0.116402,0.106673,0.022567,0.196523,4.10574,1800,1800
ClFFT,Inplace,Real,float,2,3,16,25,0,1,2.20899,0.001819,1.68426,0.22575,0.115842,0.104498,0.022654,0.202256,4.09809,1800,1800
ClFFT,Inplace,Real,float,2,3,16,25,0,2,2.22042,0.001888,1.68184,0.225974,0.116397,0.105867,0.023497,0.196078,4.10107,1800,1800
ClFFT,Inplace,Real,float,2,3,16,25,0,3,2.22081,0.001885,1.67503,0.224819,0.123604,0.106227,0.023792,0.20278,4.10133,1800,1800
ClFFT,Inplace,Real,float,2,3,16,25,0,4,2.22112,0.001656,1.67559,0.226446,0.116034,0.10561,0.023818,0.196932,4.09606,1800,1800
ClFFT,Inplace,Real,float,3,3,27,25,49,0,3.37271,0.001782,2.32689,0.388516,0.17351,0.11195,0.414319,0.203425,5.90561,137200,5488
ClFFT,Inplace,Real,float,3,3,27,25,49,1,3.33817,0.001602,2.32173,0.379227,0.174406,0.077365,0.411408,0.208252,5.87057,137200,5488
ClFFT,Inplace,Real,float,3,3,27,25,49,2,3.32075,0.001611,2.32803,0.377191,0.172958,0.077675,0.413249,0.202578,5.85376,137200,5488
ClFFT,Inplace,Real,float,3,3,27,25,49,3,3.33552,0.001944,2.32441,0.381894,0.174782,0.077993,0.412454,0.209104,5.87173,137200,5488
ClFFT,Inplace,Real,float,3,3,27,25,49,4,3.33888,0.001712,2.32617,0.382709,0.173918,0.078076,0.413201,0.202818,5.87036,137200,5488
ClFFT,Outplace,Complex,float,1,1,1024,0,0,0,0.15363,0.00281,4.61966,0.025924,0.056623,0.045257,0.025169,0.028889,4.80568,16384,0
ClFFT,Outplace,Complex,float,1,1,1024,0,0,1,0.158965,0.002806,4.61875,0.026095,0.06213,0.044976,0.025091,0.028455,4.80968,16384,0
ClFFT,Outplace,Complex,float,1,1,1024,0,0,2,0.152958,0.002781,4.61662,0.025852,0.056072,0.045198,0.025175,0.028498,4.80158,16384,0
ClFFT,Outplace,Complex,float,1,1,1024,0,0,3,0.157715,0.002805,4.61317,0.026212,0.055965,0.0452,0.029678,0.029191,4.80357,16384,0
ClFFT,Outplace,Complex,float,1,1,1024,0,0,4,0.152952,0.002667,4.65058,0.026602,0.05596,0.044887,0.024838,0.028697,4.83559,16384,0
ClFFT,Outplace,Complex,float,3,2,32,32,32,0,0.58817,0.002645,2.59523,0.329061,0.077914,0.048872,0.131674,0.197047,3.38382,524288,8192
ClFFT,Outplace,Complex,float,3,2,32,32,32,1,0.591079,0.002564,2.5953,0.332323,0.077303,0.048496,0.132274,0.202999,3.39268,524288,8192
ClFFT,Outplace,Complex,float,3,2,32,32,32,2,0.593307,0.002698,2.59394,0.334005,0.077704,0.048594,0.132357,0.201904,3.39264,524288,8192
ClFFT,Outplace,Complex,float,3,2,32,32,32,3,0.587069,0.002624,2.59441,0.329179,0.077887,0.047494,0.131832,0.203609,3.38849,524288,8192
ClFFT,Outplace,Complex,float,3,2,32,32,32,4,0.594375,0.002615,2.5933,0.330425,0.077652,0.048005,0.137566,0.196597,3.38769,524288,8192
ClFFT,Outplace,Complex,float,2,3,16,25,0,0,0.364226,0.002667,1.7062,0.215462,0.077672,0.046968,0.023426,0.20112,2.27496,6400,3200
ClFFT,Outplace,Complex,float,2,3,16,25,0,1,0.361519,0.002621,1.70204,0.213562,0.077202,0.046414,0.023622,0.198528,2.26549,6400,3200
ClFFT,Outplace,Complex,float,2,3,16,25,0,2,0.360277,0.002736,1.70675,0.212378,0.077309,0.046349,0.023542,0.200521,2.27102,6400,3200
ClFFT,Outplace,Complex,float,2,3,16,25,0,3,0.362429,0.002484,1.69328,0.213484,0.077543,0.046784,0.023941,0.202133,2.26109,6400,3200
ClFFT,Outplace,Complex,float,2,3,16,25,0,4,0.361297,0.002619,1.70132,0.213432,0.076632,0.046912,0.023623,0.201264,2.26724,6400,3200
ClFFT,Outplace,Complex,float,3,3,27,25,49,0,0.597093,0.002839,2.21886,0.337932,0.083617,0.049534,0.125325,0.199655,3.01926,529200,10584
ClFFT,Outplace,Complex,float,3,3,27,25,49,1,0.592071,0.002697,2.22061,0.332124,0.083304,0.049819,0.126124,0.287134,3.10335,529200,10584
ClFFT,Outplace,Complex,float,3,3,27,25,49,2,0.605263,0.002854,2.22189,0.343324,0.086456,0.049279,0.125539,0.200546,3.03137,529200,10584
ClFFT,Outplace,Complex,float,3,3,27,25,49,3,0.593208,0.002724,2.21863,0.332506,0.083984,0.049395,0.126664,0.198669,3.01405,529200,10584
ClFFT,Outplace,Complex,float,3,3,27,25,49,4,0.599624,0.002707,2.22133,0.333038,0.084062,0.049425,0.13238,0.199482,3.02396,529200,10584
ClFFT,Outplace,Real,float,1,1,1024,0,0,0,4.25092,0.002685,3.72481,0.221141,0.065569,0.053893,0.024313,0.179215,8.15838,12288,0
ClFFT,Outplace,Real,float,1,1,1024,0,0,1,4.25198,0.002771,3.72434,0.214441,0.065452,0.053215,0.023769,0.185055,8.16486,12288,0
ClFFT,Outplace,Real,float,1,1,1024,0,0,2,4.23732,0.002809,3.73008,0.214446,0.06553,0.053123,0.023924,0.179261,8.15014,12288,0
ClFFT,Outplace,Real,float,1,1,1024,0,0,3,4.25715,0.002752,3.73804,0.214155,0.065338,0.053293,0.024151,0.178899,8.17756,12288,0
ClFFT,Outplace,Real,float,1,1,1024,0,0,4,4.24123,0.002736,3.73299,0.213995,0.066059,0.053304,0.023725,0.17891,8.15657,12288,0
ClFFT,Outplace,Real,float,3,2,32,32,32,0,3.27658,0.002656,2.58913,0.276117,0.087117,0.095758,0.077164,0.210461,6.07955,393216,4352
ClFFT,Outplace,Real,float,3,2,32,32,32,1,3.28046,0.002589,2.57411,0.283089,0.087863,0.10269,0.076898,0.210719,6.0687,393216,4352
ClFFT,Outplace,Real,float,3,2,32,32,32,2,3.27911,0.002806,2.59443,0.276337,0.086918,0.095738,0.075935,0.209142,6.08623,393216,4352
ClFFT,Outplace,Real,float,3,2,32,32,32,3,3.28264,0.002846,2.59137,0.281116,0.087763,0.097021,0.077708,0.211872,6.08943,393216,4352
ClFFT,Outplace,Real,float,3,2,32,32,32,4,3.28862,0.002507,2.58648,0.275765,0.087277,0.095178,0.076889,0.21022,6.08854,393216,4352
ClFFT,Outplace,Real,float,2,3,16,25,0,0,2.03603,0.00285,1.57437,0.212993,0.067441,0.068671,0.022956,0.196956,3.81089,4800,1800
ClFFT,Outplace,Real,float,2,3,16,25,0,1,2.06144,0.002952,1.57986,0.212966,0.099613,0.068906,0.022965,0.195743,3.84075,4800,1800
ClFFT,Outplace,Real,float,2,3,16,25,0,2,2.02957,0.002904,1.5637,0.212289,0.066649,0.06869,0.023374,0.195301,3.79224,4800,1800
ClFFT,Outplace,Real,float,2,3,16,25,0,3,2.02497,0.002873,1.56563,0.212378,0.065685,0.069082,0.02326,0.196172,3.7904,4800,1800
ClFFT,Outplace,Real,float,2,3,16,25,0,4,2.02495,0.002543,1.56867,0.211359,0.072434,0.068131,0.023011,0.196075,3.79298,4800,1800
ClFFT,Outplace,Real,float,3,3,27,25,49,0,3.03601,0.002821,2.21681,0.277893,0.286716,0.089973,0.077149,0.345806,5.60233,396900,5488
ClFFT,Outplace,Real,float,3,3,27,25,49,1,3.04454,0.003014,2.22069,0.284327,0.282492,0.089536,0.077956,0.35236,5.62147,396900,5488
ClFFT,Outplace,Real,float,3,3,27,25,49,2,3.04313,0.002685,2.22596,0.275761,0.280482,0.08958,0.084087,0.341936,5.61454,396900,5488
ClFFT,Outplace,Real,float,3,3,27,25,49,3,3.04434,0.003002,2.20938,0.277345,0.281303,0.089774,0.07704,0.347662,5.60525,396900,5488
ClFFT,Outplace,Real,float,3,3,27,25,49,4,3.03357,0.002714,2.21294,0.277061,0.284956,0.090073,0.078369,0.344531,5.59459,396900,5488
